Site Name,Total Bytes,Image Bytes,Image Percentage,CSS Bytes,CSS Percentage,JS Bytes,JS Percentage,Total Percentage
fbcdn.net_res,1027988,26689,0.0259623653194,121393,0.118087954334,478554,0.465524889396,0.609575209049
fc2.com_res,1129956,211133,0.186850638432,28813,0.0254992229786,291567,0.258033941145,0.470383802555
flipkart.com_res,163869,296,0.00180632090267,0,0.0,161974,0.988435884762,0.990242205664
force.com_res,1825704,1187361,0.65035788934,106084,0.0581058046649,375135,0.205474162296,0.913937856301
github.com_res,1634,35,0.0214198286414,0,0.0,0,0.0,0.0214198286414
globo.com_res,1147617,221563,0.193063539491,67844,0.0591172839022,590097,0.514193324079,0.766374147473
google.az_res,591660,43060,0.0727782848257,0,0.0,303292,0.512611973093,0.585390257918
google.be_res,591595,43060,0.0727862811552,0,0.0,303292,0.512668295033,0.585454576188
google.ca_res,590011,43060,0.0729816901719,0,0.0,303092,0.513705676674,0.586687366846
google.co.ao_res,591682,43060,0.0727755787737,0,0.0,303291,0.512591222988,0.585366801762
google.co.id_res,590728,43060,0.0728931081648,0,0.0,303094,0.513085548679,0.585978656844
google.co.in_res,590054,43060,0.0729763716541,0,0.0,303091,0.513666545774,0.586642917428
google.co.jp_res,595057,43060,0.072362815663,0,0.0,307446,0.516666470607,0.58902928627
google.co.th_res,599698,49817,0.0830701453065,0,0.0,303291,0.505739555576,0.588809700883
google.co.uk_res,590078,43060,0.0729734035161,0,0.0,303091,0.513645653625,0.586619057142
google.co.ve_res,591638,43060,0.072780991079,0,0.0,303291,0.512629344295,0.585410335374
google.co.za_res,590986,43060,0.0728612860542,0,0.0,303292,0.513196590105,0.58605787616
google.com.ar_res,599746,49817,0.0830634968803,0,0.0,303291,0.505699079277,0.588762576157
google.com.au_res,594397,43060,0.07244316509,0,0.0,307450,0.517246890546,0.589690055636
google.com.br_res,590670,43060,0.0729002657999,0,0.0,303091,0.513130851406,0.586031117206
google.com.co_res,591701,43060,0.0727732418908,0,0.0,303292,0.51257645331,0.585349695201
google.com.eg_res,604090,49817,0.0824661888129,0,0.0,307696,0.509354566373,0.591820755185
google.com.hk_res,594947,43060,0.0723761948543,0,0.0,307447,0.516763678109,0.589139872963
google.com.mx_res,590624,43060,0.0729059435445,0,0.0,303091,0.513170815951,0.586076759495
google.com.pk_res,599084,49817,0.0831552837332,0,0.0,303291,0.506257887041,0.589413170774
google.com.sa_res,599703,49817,0.0830694527124,0,0.0,303292,0.505737006485,0.588806459197
google.com.sg_res,591068,43060,0.0728511778679,0,0.0,303292,0.513125393356,0.585976571224
google.com.tr_res,595021,43060,0.0723671937629,0,0.0,307450,0.516704452448,0.589071646211
google.com.tw_res,590713,43060,0.0728949591426,0,0.0,303095,0.513100270351,0.585995229494
google.com.ua_res,604160,49817,0.0824566340042,0,0.0,307695,0.509293895657,0.591750529661
google.com.vn_res,591627,43060,0.0727823442811,0,0.0,303292,0.512640565762,0.585422910043
google.com_res,596561,44278,0.0742220829052,0,0.0,307447,0.515365570327,0.589587653232
google.de_res,594995,43060,0.0723703560534,0,0.0,307446,0.516720308574,0.589090664627
google.es_res,590621,43060,0.0729063138629,0,0.0,303092,0.513175115683,0.586081429546
google.fr_res,594976,43060,0.0723726671328,0,0.0,307447,0.516738490292,0.589111157425
google.gr_res,591601,43060,0.0727855429589,0,0.0,303292,0.512663095566,0.585448638525
google.it_res,590600,43060,0.0729089061971,0,0.0,303092,0.513193362682,0.586102268879
google.nl_res,591618,43060,0.0727834514839,0,0.0,303292,0.512648364316,0.5854318158
google.pl_res,590645,43060,0.0729033514209,0,0.0,303095,0.513159342752,0.586062694173
google.ru_res,595070,43060,0.0723612348127,0,0.0,307446,0.516655183424,0.589016418237
google.se_res,591689,43060,0.0727747177994,0,0.0,303292,0.512586848834,0.585361566634
googleusercontent.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
hao123.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
hotmovs.com_res,4022388,1715377,0.426457368111,337800,0.0839799641407,1529119,0.380152039038,0.890589371289
imdb.com_res,3782671,1162093,0.307214928287,282726,0.0747424240702,1670868,0.44171644851,0.823673800867
imgur.com_res,2450586,571213,0.233092411366,272984,0.111395396856,1373290,0.560392493877,0.904880302099
indeed.com_res,686787,42,6.11543316924e-05,122216,0.177953281003,519294,0.756120893377,0.934135328712
instagram.com_res,1465816,968101,0.660451925753,0,0.0,477942,0.326058659477,0.98651058523
iqiyi.com_res,2458,0,0.0,0,0.0,0,0.0,0.0
jd.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
jf71qh5v14.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
kumparan.com_res,7314443,646798,0.0884275125256,604598,0.0826581053404,5285967,0.72267526044,0.893760878306
lifedaily.com_res,246087,333,0.00135317997294,0,0.0,214412,0.87128535843,0.872638538403
linkedin.com_res,13449,42,0.00312290876645,0,0.0,0,0.0,0.00312290876645
live.com_res,24308,0,0.0,0,0.0,17905,0.736588777357,0.736588777357
livejasmin.com_res,4419255,411832,0.0931903680598,288340,0.0652462915129,3373620,0.763391114566,0.921827774138
lolsided.com_res,340908,636,0.00186560596994,1085,0.00318267685123,302573,0.887550306828,0.892598589649
mail.ru_res,838775,93892,0.111939435486,0,0.0,541074,0.645076450776,0.757015886263
mediafire.com_res,1594738,122136,0.0765868750854,642198,0.402698123454,774515,0.485669119316,0.964954117855
mercadolivre.com.br_res,532860,187949,0.352717411703,21086,0.0395713695905,7678,0.0144090380212,0.406697819315
messenger.com_res,1708677,460592,0.269560601565,67000,0.039211623964,623086,0.364659909392,0.673432134921
microsoft.com_res,611405,243749,0.39867027584,54852,0.0897146735797,131659,0.215338441786,0.703723391206
microsoftonline.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
mozilla.org_res,820888,223154,0.27184463654,68570,0.083531492725,191616,0.233425266297,0.588801395562
msn.com_res,925022,122969,0.132936297731,34343,0.0371266845545,268520,0.290284987817,0.460347970102
naver.com_res,1515997,887092,0.585154192258,26169,0.0172619075104,281169,0.185468045121,0.787884144889
netflix.com_res,1132131,1056960,0.933602206812,0,0.0,0,0.0,0.933602206812
nextoptim.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
nicovideo.jp_res,3045057,282682,0.0928330734039,87287,0.0286651448561,1622848,0.532945031899,0.654443250159
nih.gov_res,137651,70,0.000508532448003,10735,0.0779870832758,100685,0.731451278959,0.809946894683
ntd.tv_res,1347300,162637,0.120713278409,16076,0.0119320121725,519674,0.385715133972,0.518360424553
nytimes.com_res,3719390,1463714,0.393536036823,101778,0.0273641645539,900215,0.242032967772,0.662933169149
oath.com_res,1284718,826890,0.643635412596,37487,0.0291791661672,320717,0.249639998817,0.92245457758
office.com_res,341790,36955,0.108121946224,82398,0.241077854823,65087,0.190429796074,0.539629597121
ok.ru_res,171373,0,0.0,0,0.0,0,0.0,0.0
onlinesbi.com_res,854714,20313,0.0237658444813,22254,0.0260367795543,809143,0.946682750019,0.996485374055
openload.co_res,673106,6198,0.00920805935469,183478,0.272584110081,338201,0.502448351374,0.78424052081
pages.tmall.com_res,685664,99495,0.145107516218,45260,0.0660090073272,273241,0.398505682083,0.609622205628
paypal.com_res,249983,117577,0.470339983119,16756,0.0670285579419,68084,0.272354520107,0.809723061168
pinterest.com_res,676174,1603,0.00237069156756,1901,0.00281140653145,548315,0.810908139029,0.816090237128
pixnet.net_res,796714,513080,0.643995210326,0,0.0,281619,0.353475651237,0.997470861564
popads.net_res,460995,303577,0.658525580538,7559,0.0163971409668,148260,0.321608694237,0.996531415742
pornhub.com_res,743742,247594,0.332903076605,7240,0.00973455848937,467326,0.628344237652,0.970981872746
providr.com_res,4040460,1837997,0.454897957163,130796,0.0323715616539,1175094,0.29083173698,0.778101255798
qq.com_res,121194,28316,0.233641929468,0,0.0,0,0.0,0.233641929468
quora.com_res,869354,423180,0.486775237705,130742,0.15038982969,191161,0.219888560931,0.857053628326
rakuten.co.jp_res,5730995,4985564,0.869929916184,26991,0.0047096533848,298432,0.0520733310708,0.926712900639
redd.it_res,1519543,904759,0.595415200491,94957,0.0624904987881,475379,0.312843400944,0.970749100223
reddit.com_res,8786788,5402984,0.614898641005,0,0.0,793849,0.0903457554683,0.705244396473
restorecosm.bid_res,263048,300,0.00114047626289,0,0.0,196412,0.746677412487,0.74781788875
roblox.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
rumble.com_res,777924,531100,0.682714506816,87168,0.112052077067,98170,0.126194846797,0.92096143068
salesforce.com_res,1809258,1169583,0.646443459142,106084,0.0586339814443,375110,0.207328086984,0.91240552757
savefrom.net_res,184463,35,0.000189739947849,9700,0.0525850712609,128528,0.696768457631,0.74954326884
scribd.com_res,344070,498,0.00144737989363,0,0.0,327262,0.951149475397,0.952596855291
sina.com.cn_res,1444265,1258695,0.871512499437,0,0.0,57300,0.0396741595206,0.911186658958
slideshare.net_res,199199,0,0.0,0,0.0,0,0.0,0.0
so.com_res,420322,47691,0.113463011691,81701,0.194377167981,265546,0.631768025466,0.939608205138
softonic.com_res,3692972,1512065,0.409443938378,92271,0.02498556718,1169593,0.316707789823,0.751137295382
sogou.com_res,420322,47691,0.113463011691,81701,0.194377167981,265546,0.631768025466,0.939608205138
sohu.com_res,43464,669,0.0153920485919,0,0.0,39984,0.919933738266,0.935325786858
soundcloud.com_res,4980616,1741115,0.34957824494,638099,0.128116481977,2596106,0.521241950795,0.998936677712
speakol.com_res,431980,2351,0.00544238159174,93127,0.215581739895,302879,0.70114125654,0.922165378027
spotify.com_res,180495,659,0.00365107066678,0,0.0,175047,0.969816338403,0.97346740907
stackexchange.com_res,278164,150242,0.54012021685,41523,0.149275247696,59732,0.214736630189,0.904132094735
stackoverflow.com_res,581028,239690,0.412527451345,104954,0.180635012426,183468,0.315764472624,0.908926936395
t.co_res,2159786,2046209,0.947412845532,26558,0.0122965886435,29323,0.0135768080727,0.973286242248
taobao.com_res,1833432,1196934,0.652837956357,36537,0.0199282002278,262633,0.143246654362,0.816012810947
theepochtimes.com_res,1500750,791223,0.527218390805,69061,0.0460176578377,489178,0.325955688822,0.899191737465
theguardian.com_res,3115395,1565149,0.502391831533,92708,0.0297580242634,891170,0.286053614389,0.818203470186
thepiratebay.org_res,51489,29236,0.567810600322,7627,0.148128726524,0,0.0,0.715939326847
thestartmagazine.com_res,7371598,434021,0.0588774645606,98750,0.0133960099289,3066613,0.416003829834,0.488277304324
tianya.cn_res,2306,0,0.0,0,0.0,0,0.0,0.0
tmall.com_res,526056,56571,0.107537980747,20251,0.038495901577,397186,0.755026080874,0.901059963198
tokopedia.com_res,6163936,1873798,0.303993746853,715361,0.116055877284,2012991,0.326575584172,0.746625208308
tribunnews.com_res,1213998,641912,0.528758696472,1969,0.00162191370991,552053,0.454739628896,0.985120239078
tumblr.com_res,10350595,9424123,0.910490942791,166922,0.0161268023722,685647,0.0662422788255,0.992860023989
twimg.com_res,1599,0,0.0,0,0.0,0,0.0,0.0
twitch.tv_res,4793,43,0.00897141664928,0,0.0,0,0.0,0.00897141664928
twitter.com_res,645946,100,0.000154811702526,118627,0.183648478356,471419,0.729811779932,0.91361506999
txxx.com_res,2823040,1266963,0.448793853435,150046,0.0531505044208,1044296,0.369918952618,0.871863310474
uol.com.br_res,3395061,1490229,0.438940272354,51197,0.0150798468717,1371566,0.403988617583,0.858008736809
vice.com_res,1726156,407874,0.236290346875,5942,0.00344233082062,1090696,0.631864095713,0.871596773409
vimeo.com_res,1629560,972085,0.596532192739,78945,0.0484455926753,509914,0.312915142738,0.957892928152
vk.com_res,2362968,738168,0.312390180485,911886,0.385907045715,689975,0.291995067221,0.990292293421
w3schools.com_res,628685,152909,0.243220372683,22083,0.0351256988794,433220,0.689089130487,0.967435202049
weibo.com_res,1449338,739813,0.510448908398,64623,0.0445879429091,600118,0.414063524174,0.969100375482
wetransfer.com_res,1896911,35229,0.01857177274,354652,0.186962909699,1111571,0.5859900649,0.791524747339
whatsapp.com_res,1177077,190300,0.16167166634,105557,0.0896772258739,513155,0.435957035946,0.687305928159
wikia.com_res,1850882,1099388,0.59398059952,135433,0.0731721417141,541194,0.292397894625,0.959550635859
wikipedia.org_res,85993,56049,0.651785610457,0,0.0,9755,0.113439466003,0.76522507646
wordpress.com_res,753666,315099,0.418088383979,125419,0.166411911908,195334,0.259178468977,0.843678764864
xhamster.com_res,1685543,692587,0.410898446376,307084,0.182186986627,421902,0.250306281121,0.843391714124
xinhuanet.com_res,2310,0,0.0,0,0.0,0,0.0,0.0
xnxx.com_res,304204,302605,0.994743658861,0,0.0,0,0.0,0.994743658861
xvideos.com_res,395467,393868,0.995956679066,0,0.0,0,0.0,0.995956679066
yahoo.co.jp_res,756255,347828,0.459934810348,2092,0.0027662627024,150566,0.199094220865,0.661795293915
yahoo.com_res,2162020,371029,0.171612196002,72350,0.0334640752629,786526,0.363792194337,0.568868465602
yandex.ru_res,1599,0,0.0,0,0.0,0,0.0,0.0
youth.cn_res,72411,49,0.000676692767673,0,0.0,35138,0.485257764704,0.485934457472
youtube.com_res,1963202,221540,0.112846258307,77686,0.0395710680816,1114186,0.567535077898,0.719952404286
zhihu.com_res,842178,401446,0.476675952115,62019,0.0736412017412,370625,0.440079175661,0.990396329517
,317796298.0,151404699.0,0.476420587505,15530378.0,0.048868970777,94128572.0,0.29619153084,0.821481089122
